Kinase,Compounds,Binding value,Docking value
DDR1,91755.0,14.4767348208078,-8.193
DDR1,39238.0,14.59389800671698,-8.857
DDR1,122609622.0,14.84375843168697,-9.028
DDR1,6451141.0,15.3838941012492,-9.165
DDR1,137159471.0,15.66007403219915,-8.143
DDR1,90169437.0,15.69808436792968,-8.308
DDR1,39327.0,16.00494036981126,-8.447
DDR1,10157484.0,16.49430282221222,-8.002
DDR1,54698175.0,16.49619948261224,-10.759
DDR1,131698386.0,16.72754199271185,-8.669
DDR1,10275455.0,16.9977182397115,-8.512
DDR1,54680085.0,17.0044473365956,-10.336
DDR1,157010717.0,17.41078660660251,-9.208
DDR1,38687.0,17.47229389007932,-8.054
DDR1,164806248.0,17.52832888525557,-8.796
DDR1,139509773.0,17.63928901601525,-8.086
DDR1,45381138.0,17.84667975995634,-8.663
DDR1,91600.0,17.85964089485485,-8.081
DDR1,11636326.0,18.00106332944034,-9.598
DDR1,91731.0,18.04574917192776,-8.509
